City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Kelamangalam,IN,2020-08-01 16:31:11,12.6,77.85,73.4,94,40,8.05
70,Gayny,RU,2020-08-01 16:31:11,60.31,54.32,57.56,90,86,4.14
71,Matara,LK,2020-08-01 16:31:11,5.95,80.54,79.18,87,42,10.11
72,Lasa,IT,2020-08-01 16:29:29,46.62,10.7,86.0,39,40,3.09
73,Vao,NC,2020-08-01 16:28:13,-22.67,167.48,66.22,69,46,18.45
74,Mokhsogollokh,RU,2020-08-01 16:31:12,61.47,128.92,53.98,75,23,2.04
75,Hobart,AU,2020-08-01 16:25:33,-42.88,147.33,53.01,66,75,8.05
76,Indian Head,US,2020-08-01 16:31:12,38.6,-77.16,86.0,66,20,8.05
77,Williams Lake,CA,2020-08-01 16:31:12,52.14,-122.14,68.0,60,20,6.93
78,Leningradskiy,RU,2020-08-01 16:31:12,69.38,178.42,39.83,73,100,2.59
79,Vaini,TO,2020-08-01 16:28:00,-21.2,-175.2,68.0,88,75,9.17
80,Avarua,CK,2020-08-01 16:27:05,-21.21,-159.78,60.8,82,35,2.24
81,Pangkalanbuun,ID,2020-08-01 16:31:13,-2.68,111.62,74.44,93,78,2.21
82,Ponta Do Sol,PT,2020-08-01 16:28:34,32.67,-17.1,77.0,60,0,4.27
83,Vernon,CA,2020-08-01 16:31:13,50.26,-119.27,80.01,41,1,2.24
84,Hamilton,US,2020-08-01 16:29:16,39.18,-84.53,82.0,74,90,5.82
85,Tura,IN,2020-08-01 16:31:14,25.52,90.22,78.01,85,64,2.33
86,Taldan,RU,2020-08-01 16:31:14,53.67,124.8,60.78,88,90,3.74
87,Falmouth,GB,2020-08-01 16:31:14,50.15,-5.07,66.99,77,40,12.75
88,Punta Arenas,CL,2020-08-01 16:28:02,-53.15,-70.92,39.2,86,75,8.05
89,Cabo San Lucas,MX,2020-08-01 16:24:29,22.89,-109.91,88.0,62,5,2.91
90,Catamarca,AR,2020-08-01 16:27:38,-28.47,-65.79,69.01,34,0,1.99
91,Talnakh,RU,2020-08-01 16:28:09,69.49,88.4,60.8,77,87,8.95
92,Chuy,UY,2020-08-01 16:28:00,-33.7,-53.46,59.67,69,19,5.48
